year,surviving_trees,pct_remaining,trees_lost
2002,8146748731,100.0,0
2003,8132736140,99.83,14012591
2004,8096022322,99.38,50726410
2005,8006436298,98.28,140312433
2006,7919744687,97.21,227004044
2007,7847310301,96.32,299438430
2008,7772510000,95.41,374238731
2009,7701721400,94.54,445027331
2010,7595041330,93.23,551707401
2011,7451605518,91.47,695143213
2012,7275665052,89.31,871083679
2013,7052440266,86.57,1094308465
2014,6655484738,81.69,1491263993
2015,6222623955,76.38,1924124776
2016,5719646112,70.21,2427102619
2017,5196759223,63.79,2949989508
2018,4587750085,56.31,3558998646
2019,3521669430,43.23,4625079301
2020,2463992208,30.25,5682756523
2021,1654260529,20.31,6492488202
2022,1133530298,13.91,7013218433
2023,754140790,9.26,7392607941
2024,454390538,5.58,7692358193
2025,229752667,2.82,7916996064
2026,110594786,1.36,8036153945
2027,51333552,0.63,8095415179
2028,23826924,0.29,8122921807
2029,11059479,0.14,8135689252
2030,5133355,0.06,8141615376
2031,2382692,0.03,8144366039
2032,1105948,0.01,8145642783
2033,513336,0.01,8146235396
2034,238269,0.0,8146510462
2035,110595,0.0,8146638136
2036,51334,0.0,8146697398
2037,23827,0.0,8146724904
2038,11059,0.0,8146737672
2039,5133,0.0,8146743598
2040,2383,0.0,8146746348
2041,1106,0.0,8146747625
2042,513,0.0,8146748218
2043,238,0.0,8146748493
2044,111,0.0,8146748620
2045,51,0.0,8146748680
2046,24,0.0,8146748707
2047,11,0.0,8146748720
2048,5,0.0,8146748726
2049,2,0.0,8146748729
2050,1,0.0,8146748730
2051,1,0.0,8146748731
2052,0,0.0,8146748731
2053,0,0.0,8146748731
2054,0,0.0,8146748731
2055,0,0.0,8146748731
2056,0,0.0,8146748731
2057,0,0.0,8146748731
2058,0,0.0,8146748731
2059,0,0.0,8146748731
2060,0,0.0,8146748731
2061,0,0.0,8146748731
2062,0,0.0,8146748731
2063,0,0.0,8146748731
2064,0,0.0,8146748731
2065,0,0.0,8146748731
2066,0,0.0,8146748731
2067,0,0.0,8146748731
2068,0,0.0,8146748731
2069,0,0.0,8146748731
2070,0,0.0,8146748731
2071,0,0.0,8146748731
2072,0,0.0,8146748731
2073,0,0.0,8146748731
2074,0,0.0,8146748731
2075,0,0.0,8146748731
