fips,county_name,USPS,lat,lon
48023,Baylor,TX,33.6187682,-99.2082847
48405,San Augustine,TX,31.3824492,-94.1631796
32029,Storey,NV,39.4383853,-119.5246462
13249,Schley,GA,32.2634439,-84.3227083
48313,Madison,TX,30.9668782,-95.9303719
06077,San Joaquin,CA,37.9349383,-121.2723027
28159,Winston,MS,33.0787236,-89.0373913
21103,Henry,KY,38.4513829,-85.1196472
21167,Mercer,KY,37.8120852,-84.8796946
31183,Wheeler,NE,41.9225746,-98.5208534
21135,Lewis,KY,38.5350468,-83.3701427
27051,Grant,MN,45.9307426,-96.0106987
28053,Humphreys,MS,33.1309962,-90.5234209
01025,Clarke,AL,31.6855211,-87.8186244
20017,Chase,KS,38.2994749,-96.5940289
21221,Trigg,KY,36.8076808,-87.8586515
19099,Jasper,IA,41.6855523,-93.0541536
28153,Wayne,MS,31.642503,-88.678214
48101,Cottle,TX,34.0919063,-100.2764416
51081,Greensville,VA,36.6803363,-77.5602774
12105,Polk,FL,27.9548372,-81.694246
48503,Young,TX,33.1587778,-98.6783895
40075,Kiowa,OK,34.9214893,-98.9816168
46079,Lake,SD,44.0284497,-97.1232229
37033,Caswell,NC,36.3953536,-79.3390455
48377,Presidio,TX,30.0058912,-104.2616192
39057,Greene,OH,39.6874785,-83.8948943
48489,Willacy,TX,26.4818607,-97.5947313
72021,Bayamón,PR,18.3494213,-66.1686269
35028,Los Alamos,NM,35.8699778,-106.3076046
40023,Choctaw,OK,34.0276995,-95.5540792
20041,Dickinson,KS,38.8677353,-97.1579434
48427,Starr,TX,26.530938,-98.7402328
13103,Effingham,GA,32.3616784,-81.3433734
40129,Roger Mills,OK,35.7085544,-99.7415716
55103,Richland,WI,43.3761994,-90.4356927
35025,Lea,NM,32.7956865,-103.4132707
01075,Lamar,AL,33.7870852,-88.0874309
72054,Florida,PR,18.3686801,-66.5627106
47117,Marshall,TN,35.468311,-86.7661993
51011,Appomattox,VA,37.3707253,-78.8109404
05087,Madison,AR,36.0125452,-93.7240531
