fips,state_fips,county_fips,state,county,year_detected
26093,26,093,Michigan,Livingston,2002
26099,26,099,Michigan,Macomb,2002
26115,26,115,Michigan,Monroe,2002
26125,26,125,Michigan,Oakland,2002
26161,26,161,Michigan,Washtenaw,2002
26163,26,163,Michigan,Wayne,2002
24033,24,033,Maryland,Prince George's,2003
26025,26,025,Michigan,Calhoun,2003
26045,26,045,Michigan,Eaton,2003
26049,26,049,Michigan,Genesee,2003
26065,26,065,Michigan,Ingham,2003
26075,26,075,Michigan,Jackson,2003
26081,26,081,Michigan,Kent,2003
26139,26,139,Michigan,Ottawa,2003
26145,26,145,Michigan,Saginaw,2003
26147,26,147,Michigan,St. Clair,2003
26155,26,155,Michigan,Shiawassee,2003
39039,39,039,Ohio,Defiance,2003
39049,39,049,Ohio,Franklin,2003
39095,39,095,Ohio,Lucas,2003
39125,39,125,Ohio,Paulding,2003
39173,39,173,Ohio,Wood,2003
18087,18,087,Indiana,LaGrange,2004
18151,18,151,Indiana,Steuben,2004
26001,26,001,Michigan,Alcona,2004
26009,26,009,Michigan,Antrim,2004
26015,26,015,Michigan,Barry,2004
26021,26,021,Michigan,Berrien,2004
26023,26,023,Michigan,Branch,2004
26031,26,031,Michigan,Cheboygan,2004
26037,26,037,Michigan,Clinton,2004
26039,26,039,Michigan,Crawford,2004
26047,26,047,Michigan,Emmet,2004
26057,26,057,Michigan,Gratiot,2004
26059,26,059,Michigan,Hillsdale,2004
26069,26,069,Michigan,Iosco,2004
26087,26,087,Michigan,Lapeer,2004
26091,26,091,Michigan,Lenawee,2004
26101,26,101,Michigan,Manistee,2004
26107,26,107,Michigan,Mecosta,2004
26111,26,111,Michigan,Midland,2004
26127,26,127,Michigan,Oceana,2004
26129,26,129,Michigan,Ogemaw,2004
26135,26,135,Michigan,Oscoda,2004
26141,26,141,Michigan,Presque Isle,2004
26143,26,143,Michigan,Roscommon,2004
26149,26,149,Michigan,St. Joseph,2004
26151,26,151,Michigan,Sanilac,2004
39051,39,051,Ohio,Fulton,2004
39069,39,069,Ohio,Henry,2004
18001,18,001,Indiana,Adams,2005
18135,18,135,Indiana,Randolph,2005
26019,26,019,Michigan,Benzie,2005
26029,26,029,Michigan,Charlevoix,2005
26033,26,033,Michigan,Chippewa,2005
26055,26,055,Michigan,Grand Traverse,2005
26063,26,063,Michigan,Huron,2005
26067,26,067,Michigan,Ionia,2005
26073,26,073,Michigan,Isabella,2005
26105,26,105,Michigan,Mason,2005
26117,26,117,Michigan,Montcalm,2005
26119,26,119,Michigan,Montmorency,2005
26157,26,157,Michigan,Tuscola,2005
26159,26,159,Michigan,Van Buren,2005
39011,39,011,Ohio,Auglaize,2005
39041,39,041,Ohio,Delaware,2005
39043,39,043,Ohio,Erie,2005
39063,39,063,Ohio,Hancock,2005
39093,39,093,Ohio,Lorain,2005
39123,39,123,Ohio,Ottawa,2005
39143,39,143,Ohio,Sandusky,2005
39171,39,171,Ohio,Williams,2005
17031,17,031,Illinois,Cook,2006
17089,17,089,Illinois,Kane,2006
18003,18,003,Indiana,Allen,2006
18033,18,033,Indiana,DeKalb,2006
18057,18,057,Indiana,Hamilton,2006
18069,18,069,Indiana,Huntington,2006
18097,18,097,Indiana,Marion,2006
18127,18,127,Indiana,Porter,2006
18141,18,141,Indiana,St. Joseph,2006
18181,18,181,Indiana,White,2006
26011,26,011,Michigan,Arenac,2006
26035,26,035,Michigan,Clare,2006
26051,26,051,Michigan,Gladwin,2006
26077,26,077,Michigan,Kalamazoo,2006
26079,26,079,Michigan,Kalkaska,2006
26089,26,089,Michigan,Leelanau,2006
26113,26,113,Michigan,Missaukee,2006
26133,26,133,Michigan,Osceola,2006
26137,26,137,Michigan,Otsego,2006
39035,39,035,Ohio,Cuyahoga,2006
39065,39,065,Ohio,Hardin,2006
39077,39,077,Ohio,Huron,2006
39091,39,091,Ohio,Logan,2006
39101,39,101,Ohio,Marion,2006
39103,39,103,Ohio,Medina,2006
39107,39,107,Ohio,Mercer,2006
39109,39,109,Ohio,Miami,2006
39147,39,147,Ohio,Seneca,2006
39165,39,165,Ohio,Warren,2006
39175,39,175,Ohio,Wyandot,2006
17043,17,043,Illinois,DuPage,2007
17099,17,099,Illinois,La Salle,2007
18039,18,039,Indiana,Elkhart,2007
18113,18,113,Indiana,Noble,2007
18169,18,169,Indiana,Wabash,2007
18179,18,179,Indiana,Wells,2007
18183,18,183,Indiana,Whitley,2007
26005,26,005,Michigan,Allegan,2007
26007,26,007,Michigan,Alpena,2007
26017,26,017,Michigan,Bay,2007
26027,26,027,Michigan,Cass,2007
26097,26,097,Michigan,Mackinac,2007
26121,26,121,Michigan,Muskegon,2007
39003,39,003,Ohio,Allen,2007
39017,39,017,Ohio,Butler,2007
39045,39,045,Ohio,Fairfield,2007
39061,39,061,Ohio,Hamilton,2007
39099,39,099,Ohio,Mahoning,2007
39113,39,113,Ohio,Montgomery,2007
39133,39,133,Ohio,Portage,2007
39159,39,159,Ohio,Union,2007
42003,42,003,Pennsylvania,Allegheny,2007
42019,42,019,Pennsylvania,Butler,2007
54019,54,019,West Virginia,Fayette,2007
17011,17,011,Illinois,Bureau,2008
17093,17,093,Illinois,Kendall,2008
17097,17,097,Illinois,Lake,2008
17111,17,111,Illinois,McHenry,2008
17113,17,113,Illinois,McLean,2008
17197,17,197,Illinois,Will,2008
18013,18,013,Indiana,Brown,2008
18043,18,043,Indiana,Floyd,2008
18085,18,085,Indiana,Kosciusko,2008
18105,18,105,Indiana,Monroe,2008
24017,24,017,Maryland,Charles,2008
26041,26,041,Michigan,Delta,2008
26061,26,061,Michigan,Houghton,2008
26153,26,153,Michigan,Schoolcraft,2008
29223,29,223,Missouri,Wayne,2008
39025,39,025,Ohio,Clermont,2008
39089,39,089,Ohio,Licking,2008
39137,39,137,Ohio,Putnam,2008
39161,39,161,Ohio,Van Wert,2008
39169,39,169,Ohio,Wayne,2008
42007,42,007,Pennsylvania,Beaver,2008
42085,42,085,Pennsylvania,Mercer,2008
51059,51,059,Virginia,Fairfax,2008
55089,55,089,Wisconsin,Ozaukee,2008
55131,55,131,Wisconsin,Washington,2008
