state_fips,state,county_fips,county,eval_year,spcd,species,estimate,se,se_percent,plot_count
01,Alabama,01001,Autauga,2023,0541,white ash,146419.7229524948,145482.00099564175,99.35956581671904,1
01,Alabama,01001,Autauga,2023,0544,green ash,36604.9307381237,36370.50024891044,99.35956581671904,1
01,Alabama,01003,Baldwin,2023,0544,green ash,8538151.38774208,3636589.18121274,42.59223122271715,11
01,Alabama,01005,Barbour,2023,0544,green ash,748995.1238964387,475460.2627391208,63.479754082466,6
01,Alabama,01007,Bibb,2023,0544,green ash,1191708.809078059,935375.1180778478,78.49024115223932,5
01,Alabama,01009,Blount,2023,0541,white ash,108956.79700775331,62738.53252801411,57.581109440606696,3
01,Alabama,01009,Blount,2023,0544,green ash,954569.7989024972,645490.5521759819,67.62109516958586,3
01,Alabama,01011,Bullock,2023,0544,green ash,4012479.156477243,1773934.5793732384,44.21043724325946,8
01,Alabama,01013,Butler,2023,0541,white ash,1860518.5102447683,1432512.5827032796,76.99534161123822,3
01,Alabama,01013,Butler,2023,0544,green ash,1659773.066623838,1072739.4429297093,64.63169360325747,5
01,Alabama,01015,Calhoun,2023,0544,green ash,977206.2717026086,940770.2788541005,96.27141230018665,2
01,Alabama,01017,Chambers,2023,0544,green ash,1367935.1846299835,783655.7131597694,57.2874886153135,3
01,Alabama,01019,Cherokee,2023,0541,white ash,704865.5007955581,472919.59277637204,67.09359335115757,5
01,Alabama,01019,Cherokee,2023,0544,green ash,2679009.9332650844,1573650.8265667409,58.74001462356766,7
01,Alabama,01021,Chilton,2023,0544,green ash,183024.65369061852,149911.5954908483,81.90787004260972,2
01,Alabama,01023,Choctaw,2023,0541,white ash,71665.44391472441,50980.19710743238,71.13637245880223,2
01,Alabama,01023,Choctaw,2023,0544,green ash,2595570.4520765734,1403543.53062913,54.074568829608616,8
01,Alabama,01025,Clarke,2023,0541,white ash,2000433.0707529811,1148709.4189860187,57.42303683040163,6
01,Alabama,01025,Clarke,2023,0544,green ash,10585849.063847728,5267089.808391318,49.755950388327605,17
01,Alabama,01027,Clay,2023,0544,green ash,452284.20351538656,451923.95458103373,99.92034899040188,1
01,Alabama,01029,Cleburne,2023,0541,white ash,72637.86467183554,72580.00787927391,99.92034899040188,1
01,Alabama,01029,Cleburne,2023,0544,green ash,216262.36494425376,184393.29458302975,85.2637002423242,2
01,Alabama,01031,Coffee,2023,0541,white ash,455978.3948766612,453058.1533674952,99.35956581671904,1
01,Alabama,01033,Colbert,2023,0541,white ash,1105642.0615801746,646334.8704855238,58.4578764633635,5
01,Alabama,01033,Colbert,2023,0544,green ash,2693138.6195879546,1158436.5945339683,43.01436940929565,13
01,Alabama,01035,Conecuh,2023,0544,green ash,949231.7453188775,576000.4636176781,60.68069957186072,5
01,Alabama,01037,Coosa,2023,0544,green ash,1465479.1617396625,1043523.7052282478,71.2069971700919,4
01,Alabama,01039,Covington,2023,0544,green ash,2230195.9618937504,1138533.681636644,51.050835939540875,4
01,Alabama,01041,Crenshaw,2023,0541,white ash,911956.7897533224,906116.3067349904,99.35956581671904,1
01,Alabama,01041,Crenshaw,2023,0544,green ash,2315099.595204146,1197121.8447930263,51.709302151532874,5
